phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,60,RIM_ONE_r3,SUP_CED,32,student,raw_linear3_same_geometry,40,40,0.9861396306563966,0.7219026987715601,0.662715235169245,0.6923089669704026
P1,metrics.csv,60,RIM_ONE_r3,SUP_CED,32,ema,raw_linear3_same_geometry,40,40,0.9866667732873118,0.7279919443541256,0.6755549956967385,0.701773470025432
P1,metrics.csv,80,RIM_ONE_r3,SUP_CED,32,student,raw_linear3_same_geometry,40,40,0.9866482122223152,0.7234988433517101,0.6493939876924186,0.6864464155220643
P1,metrics.csv,80,RIM_ONE_r3,SUP_CED,32,ema,raw_linear3_same_geometry,40,40,0.9867983065171577,0.7286740471288267,0.6674854572202108,0.6980797521745188
P1,metrics.csv,100,RIM_ONE_r3,SUP_CED,32,student,raw_linear3_same_geometry,40,40,0.9868114464584743,0.7274982611034916,0.662562407838754,0.6950303344711228
P1,metrics.csv,100,RIM_ONE_r3,SUP_CED,32,ema,raw_linear3_same_geometry,40,40,0.9868151998250656,0.7275979054688613,0.6633070315552452,0.6954524685120532
P1,metrics.csv,20,Drishti_GS,SUP_CED,32,student,raw_linear3_same_geometry,25,25,0.98484135003253,0.6546587833755798,0.7335686068819478,0.6941136951287638
P1,metrics.csv,20,Drishti_GS,SUP_CED,32,ema,raw_linear3_same_geometry,25,25,0.9862308706644365,0.6625110433804231,0.7518748720685684,0.7071929577244958
P1,metrics.csv,40,Drishti_GS,SUP_CED,32,student,raw_linear3_same_geometry,25,25,0.9836149979222512,0.6629533859591759,0.7292372895603917,0.6960953377597838
P1,metrics.csv,40,Drishti_GS,SUP_CED,32,ema,raw_linear3_same_geometry,25,25,0.9853284309126209,0.6511205526393516,0.760746097332914,0.7059333249861328
P1,metrics.csv,60,Drishti_GS,SUP_CED,32,student,raw_linear3_same_geometry,25,25,0.9853997665676707,0.6200640808997613,0.7436072794957481,0.6818356801977546
P1,metrics.csv,60,Drishti_GS,SUP_CED,32,ema,raw_linear3_same_geometry,25,25,0.9848437941510698,0.6543236039881313,0.7591213198411189,0.7067224619146251
P1,metrics.csv,80,Drishti_GS,SUP_CED,32,student,raw_linear3_same_geometry,25,25,0.9844694140397888,0.6565648834846285,0.750831301026368,0.7036980922554983
P1,metrics.csv,80,Drishti_GS,SUP_CED,32,ema,raw_linear3_same_geometry,25,25,0.9847171247289244,0.6576262153737743,0.7536498342441117,0.705638024808943
P1,metrics.csv,100,Drishti_GS,SUP_CED,32,student,raw_linear3_same_geometry,25,25,0.9836062283051191,0.65767033028171,0.7413681921605634,0.6995192612211367
P1,metrics.csv,100,Drishti_GS,SUP_CED,32,ema,raw_linear3_same_geometry,25,25,0.9838419203285079,0.6578920207211654,0.7431204265619012,0.7005062236415334
P1,metrics.csv,20,RIM_ONE_r3,MT_CED,32,student,raw_linear3_same_geometry,40,40,0.985998380851236,0.704477320896862,0.6164879737273927,0.6604826473121272
P1,metrics.csv,20,RIM_ONE_r3,MT_CED,32,ema,raw_linear3_same_geometry,40,40,0.9858379359852005,0.7088590945416963,0.65400354916424,0.6814313218529681
P1,metrics.csv,40,RIM_ONE_r3,MT_CED,32,student,raw_linear3_same_geometry,40,40,0.9861351070508964,0.7254951802106888,0.6958256899027907,0.7106604350567397
P1,metrics.csv,40,RIM_ONE_r3,MT_CED,32,ema,raw_linear3_same_geometry,40,40,0.9862013738957739,0.7279893955692406,0.6828010011359608,0.7053951983526007
P1,metrics.csv,60,RIM_ONE_r3,MT_CED,32,student,raw_linear3_same_geometry,40,40,0.9856906960450094,0.720863953224967,0.6528689647925218,0.6868664590087443
P1,metrics.csv,60,RIM_ONE_r3,MT_CED,32,ema,raw_linear3_same_geometry,40,40,0.9859753345274604,0.7290101751784845,0.6711199421571532,0.700065058667819
P1,metrics.csv,80,RIM_ONE_r3,MT_CED,32,student,raw_linear3_same_geometry,40,40,0.9860113893433745,0.7250342993501352,0.6531696391037777,0.6891019692269567
P1,metrics.csv,80,RIM_ONE_r3,MT_CED,32,ema,raw_linear3_same_geometry,40,40,0.9855282185025791,0.7219728127976202,0.6530127621222481,0.6874927874599341
P1,metrics.csv,100,RIM_ONE_r3,MT_CED,32,student,raw_linear3_same_geometry,40,40,0.9852319062776921,0.7159053466441654,0.6439571815411849,0.679931264092675
P1,metrics.csv,100,RIM_ONE_r3,MT_CED,32,ema,raw_linear3_same_geometry,40,40,0.9852474459138989,0.7163480532522029,0.6449388266506629,0.6806434399514328
P1,metrics.csv,20,Drishti_GS,MT_CED,32,student,raw_linear3_same_geometry,25,25,0.98484135003253,0.6546587833755798,0.7335686068819478,0.6941136951287638
P1,metrics.csv,20,Drishti_GS,MT_CED,32,ema,raw_linear3_same_geometry,25,25,0.9862308706644365,0.6625110433804231,0.7518748720685684,0.7071929577244958
