phase,arm,baseline,seed,domain,metric,delta,flag
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,Drishti_GS,macro_fg_dice,0.04711189324798781,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,Drishti_GS,rim_dice,0.04724897047818266,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,Drishti_GS,cup_dice,0.04697481601779263,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,RIM_ONE_r3,macro_fg_dice,0.04571452911054941,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,RIM_ONE_r3,rim_dice,0.04548743990217452,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,RIM_ONE_r3,cup_dice,0.04594161831892418,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,Drishti_GS,macro_fg_dice,0.06032758420630702,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,Drishti_GS,rim_dice,0.11018188916652905,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,41,Drishti_GS,cup_dice,0.010473279246085099,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,42,RIM_ONE_r3,macro_fg_dice,0.03750025384286537,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,42,RIM_ONE_r3,rim_dice,0.021972808892407603,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,42,RIM_ONE_r3,cup_dice,0.05302769879332303,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,42,Drishti_GS,macro_fg_dice,0.0437737669232392,
