phase,seed,domain,arm,epoch,class_id,steps,L_class_pixels,L_records,U_unique_batch_sources,U_context_records,mix_steps,all_ignore_L,CE,GT_Dice,dice_weight,SCE,target_entropy,KL,lambda_cons,weighted_GT_Dice,weighted_U_SCE,U_target_applicable,unit,U_predicted,U_accepted
P1,31,RIM_ONE_r3,SUP_CED,25,0,32,8541428,64,0,0,0,0,1.6461851503700018,5.8638540526861425,32,0.0,0.0,0.0,4.0,5.8638540526861425,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,25,1,32,721124,64,0,0,0,0,1.6461851503700018,5.8638540526861425,32,0.0,0.0,0.0,4.0,5.8638540526861425,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,25,2,32,174632,64,0,0,0,0,1.6461851503700018,5.8638540526861425,32,0.0,0.0,0.0,4.0,5.8638540526861425,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,26,0,32,8541428,64,0,0,0,0,1.617000013589859,5.790353442819382,32,0.0,0.0,0.0,4.800000000000001,5.790353442819382,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,26,1,32,721124,64,0,0,0,0,1.617000013589859,5.790353442819382,32,0.0,0.0,0.0,4.800000000000001,5.790353442819382,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,26,2,32,174632,64,0,0,0,0,1.617000013589859,5.790353442819382,32,0.0,0.0,0.0,4.800000000000001,5.790353442819382,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,27,0,32,8541428,64,0,0,0,0,1.4558715857565403,5.620544769226609,32,0.0,0.0,0.0,5.599999999999997,5.620544769226609,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,27,1,32,721124,64,0,0,0,0,1.4558715857565403,5.620544769226609,32,0.0,0.0,0.0,5.599999999999997,5.620544769226609,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,27,2,32,174632,64,0,0,0,0,1.4558715857565403,5.620544769226609,32,0.0,0.0,0.0,5.599999999999997,5.620544769226609,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,28,0,32,8541428,64,0,0,0,0,1.3528668843209743,4.964824909153358,32,0.0,0.0,0.0,6.400000000000003,4.964824909153358,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,28,1,32,721124,64,0,0,0,0,1.3528668843209743,4.964824909153358,32,0.0,0.0,0.0,6.400000000000003,4.964824909153358,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,28,2,32,174632,64,0,0,0,0,1.3528668843209743,4.964824909153358,32,0.0,0.0,0.0,6.400000000000003,4.964824909153358,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,29,0,32,8541428,64,0,0,0,0,1.2916878052055836,4.483857427201839,32,0.0,0.0,0.0,7.199999999999996,4.483857427201839,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,29,1,32,721124,64,0,0,0,0,1.2916878052055836,4.483857427201839,32,0.0,0.0,0.0,7.199999999999996,4.483857427201839,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,29,2,32,174632,64,0,0,0,0,1.2916878052055836,4.483857427201839,32,0.0,0.0,0.0,7.199999999999996,4.483857427201839,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,30,0,32,8541428,64,0,0,0,0,1.4661028776317835,5.221305671628576,32,0.0,0.0,0.0,8.0,5.221305671628576,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,30,1,32,721124,64,0,0,0,0,1.4661028776317835,5.221305671628576,32,0.0,0.0,0.0,8.0,5.221305671628576,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,30,2,32,174632,64,0,0,0,0,1.4661028776317835,5.221305671628576,32,0.0,0.0,0.0,8.0,5.221305671628576,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,31,0,32,8541428,64,0,0,0,0,1.297803957015276,4.506410065688976,32,0.0,0.0,0.0,8.800000000000004,4.506410065688976,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,31,1,32,721124,64,0,0,0,0,1.297803957015276,4.506410065688976,32,0.0,0.0,0.0,8.800000000000004,4.506410065688976,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,31,2,32,174632,64,0,0,0,0,1.297803957015276,4.506410065688976,32,0.0,0.0,0.0,8.800000000000004,4.506410065688976,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,32,0,32,8541428,64,0,0,0,0,1.5444257836788893,5.259856778353433,32,0.0,0.0,0.0,9.600000000000001,5.259856778353433,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,32,1,32,721124,64,0,0,0,0,1.5444257836788893,5.259856778353433,32,0.0,0.0,0.0,9.600000000000001,5.259856778353433,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,32,2,32,174632,64,0,0,0,0,1.5444257836788893,5.259856778353433,32,0.0,0.0,0.0,9.600000000000001,5.259856778353433,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,33,0,32,8541428,64,0,0,0,0,1.2218704000115395,4.232159320532025,32,0.0,0.0,0.0,10.399999999999997,4.232159320532025,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,33,1,32,721124,64,0,0,0,0,1.2218704000115395,4.232159320532025,32,0.0,0.0,0.0,10.399999999999997,4.232159320532025,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,33,2,32,174632,64,0,0,0,0,1.2218704000115395,4.232159320532025,32,0.0,0.0,0.0,10.399999999999997,4.232159320532025,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,34,0,32,8541428,64,0,0,0,0,1.2700865902006626,4.156559549774105,32,0.0,0.0,0.0,11.199999999999994,4.156559549774105,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
