level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
seed,1,O_SAFE0_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5547095032929384,0.5065879719158417,0.6028310346700353,0.6149803152773199,0.004331577762391752,0.00748836841326998,0.0011747871115135222,0.0,DEFINED,-0.22909678539616077,0.0,0.0
seed,1,O_SAFE0_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5561001368156464,0.5093555428109494,0.6028447308203434,0.6158434735661981,0.005722211285099733,0.01025593930837771,0.0011884832618217584,0.0,DEFINED,-0.2277061518734528,0.0,0.0
seed,1,O_SAFE0_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5561814025717527,0.5095180743231621,0.6028447308203434,0.6159005726214734,0.0058034770412060425,0.010418470820590331,0.0011884832618217584,0.0,DEFINED,-0.2276248861173465,0.0,0.0
seed,1,O_NO_AREA_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7592048312010734,0.7640584487590942,0.7543512136430527,0.7585749016301553,0.20882690567052672,0.2649588452565226,0.1526949660845309,0.00019239008723304085,DEFINED,-0.024601457488025807,0.0,0.0
seed,1,O_NO_AREA_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7986290869999131,0.8089118542679913,0.7883463197318344,0.793857695673427,0.2482511614693663,0.3098122507654198,0.18669007217331277,0.004824623857021866,DEFINED,0.014822798310813762,0.0,0.0
seed,1,O_NO_AREA_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8065588905791491,0.8114312057362221,0.801686575422076,0.8011525270061673,0.25618096504860244,0.3123316022336505,0.20003032786355443,0.00019239008723304085,DEFINED,0.022752601890049906,0.0,0.0
seed,1,O_FREE_SUBSET_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7620702992543453,0.7664208816724233,0.7577197168362672,0.7613443131072692,0.21169237372379857,0.2673212781698517,0.1560634692777455,0.00019239008723304085,DEFINED,-0.021735989434753966,0.0,0.0
seed,1,O_FREE_SUBSET_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8020710770403273,0.811821914838839,0.7923202392418155,0.797462622418522,0.25169315150978067,0.31272231133626743,0.19066399168329387,0.004824623857021866,DEFINED,0.018264788351228134,0.0,0.0
seed,1,O_FREE_SUBSET_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8099932663768747,0.8143260378216922,0.8056604949320572,0.8047439501222314,0.25961534084632804,0.3152264343191206,0.20400424737353554,0.00019239008723304085,DEFINED,0.026186977687775503,0.0,0.0
seed,2,current,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6762919462179598,0.6684035594793745,0.684180332956545,0.69158947204046,0.0,0.0,0.0,0.0,DEFINED,-0.14295183891228178,0.0,0.0
seed,2,frozen_Ridge_hard,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8242169683824357,0.831424698133077,0.8170092386317944,0.8118888534637422,0.147925022164476,0.16302113865370269,0.13282890567524933,0.03669435455415477,DEFINED,0.00497318325219423,0.0,0.0
seed,2,frozen_SHOR,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.813113721038765,0.8039973604024425,0.8222300816750873,0.8024841668987363,0.13682177482080515,0.1355938009230681,0.13804974871854217,0.0007967932781760344,DEFINED,-0.0061300640914766225,0.0,0.0
seed,2,frozen_PPC_C6,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8192437851302415,0.8124527702339565,0.8260348000265267,0.8076779904324584,0.14295183891228178,0.144049210754582,0.14185446706998162,0.0007967932781760344,DEFINED,0.0,0.0,0.0
seed,2,O_CAP_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6894702789681394,0.6790843500064404,0.6998562079298383,0.7035750159434793,0.013178332750179647,0.010680790527066076,0.015675874973293216,0.0,DEFINED,-0.12977350616210212,0.0,0.0
seed,2,O_CAP_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6944260043827533,0.6822780402260373,0.7065739685394691,0.7083216985699848,0.018134058164793493,0.013874480746662978,0.022393635582924006,0.0,DEFINED,-0.12481778074748828,0.0,0.0
seed,2,O_CAP_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6946320609995795,0.6823409164521109,0.7069232055470479,0.7085468579324404,0.01834011478161968,0.013937356972736478,0.02274287259050288,0.0,DEFINED,-0.1246117241306621,0.0,0.0
seed,2,O_SAFE0_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6894702789681394,0.6790843500064404,0.6998562079298383,0.7035750159434793,0.013178332750179647,0.010680790527066076,0.015675874973293216,0.0,DEFINED,-0.12977350616210212,0.0,0.0
seed,2,O_SAFE0_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6944260043827533,0.6822780402260373,0.7065739685394691,0.7083216985699848,0.018134058164793493,0.013874480746662978,0.022393635582924006,0.0,DEFINED,-0.12481778074748828,0.0,0.0
seed,2,O_SAFE0_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6946320609995795,0.6823409164521109,0.7069232055470479,0.7085468579324404,0.01834011478161968,0.013937356972736478,0.02274287259050288,0.0,DEFINED,-0.1246117241306621,0.0,0.0
seed,2,O_NO_AREA_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7664886160624985,0.7725540133424135,0.7604232187825836,0.7613990309509312,0.09019666984453882,0.104150453863039,0.0762428858260386,0.0,DEFINED,-0.052755169067742955,0.0,0.0
seed,2,O_NO_AREA_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8160432809697595,0.810070760760074,0.8220158011794453,0.8047727595783347,0.13975133475179977,0.14166720128069954,0.13783546822290002,0.0,DEFINED,-0.0032005041604820095,0.0,0.0
seed,2,O_NO_AREA_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8163833045530633,0.8100479451154147,0.8227186639907123,0.8051700683254976,0.14009135833510358,0.14164438563604015,0.13853833103416702,0.0,DEFINED,-0.0028604805771781927,0.0,0.0
seed,2,O_FREE_SUBSET_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7680876407640372,0.7752845502908997,0.7608907312371745,0.7631043180673011,0.0917956945460774,0.10688099081152536,0.07671039828062944,0.0,DEFINED,-0.05115614436620437,0.0,0.0
seed,2,O_FREE_SUBSET_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8177670610998412,0.8128371241467821,0.8226969980529004,0.806707652885581,0.14147511488188147,0.14443356466740773,0.1385166650963552,0.0,DEFINED,-0.001476724030400306,0.0,0.0
seed,2,O_FREE_SUBSET_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.818071772981264,0.8127825191080924,0.8233610268544357,0.8070664383891192,0.14177982676330425,0.14437895962871797,0.13918069389789048,0.0,DEFINED,-0.0011720121489775248,0.0,0.0
domain,Drishti_GS,current,30,30,0,28,28,3,original_seed_domain_equal_then_patient_equal,0.8482927502607938,0.8653032158388884,0.8312822846826989,0.8351460101952569,0.0,0.0,0.0,0.0,DEFINED,0.015315363792476487,0.0,0.0
domain,Drishti_GS,frozen_Ridge_hard,30,30,0,28,28,3,original_seed_domain_equal_then_patient_equal,0.8021396302349245,0.8095840345223992,0.7946952259474497,0.7985198739206503,-0.04615312002586917,-0.05571918131648912,-0.03658705873524922,0.05571918131648912,DEFINED,-0.03083775623339268,0.05571918131648912,0.03658705873524922
domain,Drishti_GS,frozen_SHOR,30,30,0,28,28,3,original_seed_domain_equal_then_patient_equal,0.8329773864683171,0.845481595798378,0.8204731771382563,0.8228402413474619,-0.015315363792476487,-0.01982162004051039,-0.010809107544442594,0.01982162004051039,DEFINED,0.0,0.01982162004051039,0.010809107544442594
