level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
domain,REFUGE,O_SAFE0_lambda075,107,0.6126327362919113,0.041323632421269844,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_SAFE0_envelope,107,0.6131072560567152,0.041798152186073856,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_NO_AREA_lambda050,107,0.8194342426779423,0.2481251388073009,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_NO_AREA_lambda075,107,0.8773193717725907,0.3060102679019492,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_NO_AREA_envelope,107,0.8800500754655258,0.3087409715948844,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_FREE_SUBSET_lambda050,107,0.8249429498891098,0.2536338460184684,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_FREE_SUBSET_lambda075,107,0.8839573715242156,0.31264826765357434,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_FREE_SUBSET_envelope,107,0.8866561721688749,0.3153470682982336,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,current,42,0.3934110503306454,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,frozen_Ridge_hard,42,0.7678143409451719,0.3744032906145266,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,frozen_SHOR,42,0.7013661974331691,0.30795514710252364,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,frozen_PPC_C6,42,0.6941719053397156,0.30076085500907024,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_CAP_lambda050,42,0.4035896046332993,0.010178554302653988,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_CAP_lambda075,42,0.4124630075125939,0.01905195718194854,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_CAP_envelope,42,0.4124634394094498,0.01905238907880447,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_SAFE0_lambda050,42,0.40349917165871285,0.010088121328067535,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_SAFE0_lambda075,42,0.41237257453800746,0.018961524207362086,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_SAFE0_envelope,42,0.41237300643486335,0.018961956104218015,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_NO_AREA_lambda050,42,0.6151201018264154,0.22170905149577017,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_NO_AREA_lambda075,42,0.6898629718720417,0.29645192154139643,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_NO_AREA_envelope,42,0.6967604437531125,0.3033493934224672,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_FREE_SUBSET_lambda050,42,0.6157954913430327,0.22238444101238747,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_FREE_SUBSET_lambda075,42,0.6906630163855028,0.29725196605485743,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,RIM_ONE_r3,O_FREE_SUBSET_envelope,42,0.6975604882665736,0.3041494379359282,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,current,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,frozen_Ridge_hard,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,frozen_SHOR,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,frozen_PPC_C6,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_CAP_lambda050,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_CAP_lambda075,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_CAP_envelope,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
