level,key,policy,rows,patients,accepted,vetoed,current_domain_historical_overrides,source_mismatches,beneficial_accepted,harmful_accepted,beneficial_vetoed,class_harm_vetoed,zero_macro_vetoed,class_nonharm_accepted,correction_precision,class_nonharm_precision,worst_case_delta,worst_class_harm,case_delta_below_minus_010,patients_with_case_below_minus_010,worst_patient_mean_delta,patient_mean_below_minus_010
seed_domain,2:REFUGE,SHOR_CONFIDENCE_VETO,40,40,36,4,0,0,36,1,4,1,0,35,1.0,0.9722222222222222,0.0,0.004264030933227803,0,0,0.0,0
seed_domain,2:REFUGE,SHOR_UV_CF,40,40,34,6,0,0,34,2,6,0,0,32,1.0,0.9411764705882353,0.0,0.09135116244789632,0,0,0.0,0
seed_domain,2:REFUGE,SHOR_UV_GAIN_ONLY,40,40,11,29,0,0,11,0,29,2,0,11,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:REFUGE,SHOR_UV_ROUTED_ONLY,40,40,38,2,0,0,38,2,2,0,0,36,1.0,0.9473684210526315,0.0,0.09135116244789632,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,CURRENT,16,16,0,8,0,0,0,0,8,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,RIDGE_HARD_FROZEN,16,16,16,0,0,0,16,0,0,0,0,16,1.0,1.0,0.1370140619175767,0.0,0,0,0.1370140619175767,0
seed_domain,2:RIM_ONE_r3,SHOR_FROZEN,16,16,8,0,0,0,8,0,0,0,0,8,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,PPC_FROZEN,16,16,9,0,0,0,9,0,0,0,0,9,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,16,16,8,0,0,0,8,0,0,0,0,8,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,SHOR_UV_CF,16,16,4,4,0,0,4,0,4,0,0,4,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,16,16,5,3,0,0,5,0,3,0,0,5,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,2:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,16,16,8,0,0,0,8,0,0,0,0,8,1.0,1.0,0.0,0.0,0,0,0.0,0
