batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed1/stage1/RIM_ONE_r3/pair00,1,1,RIM_ONE_r3,0,P1,False,0.298316895005374,0.29820270005184263,-0.00011419495353137687,-0.0008344375925271041,"[0.024583763415178206, -0.006918876971282906]","[-0.002031936726604733, 0.0003630615415504135]"
B0/seed1/stage1/RIM_ONE_r3/pair00,1,1,RIM_ONE_r3,0,P2,False,0.298316895005374,0.29833630985230997,1.9414846935961183e-05,-0.0007841935959387314,"[0.015177372224205898, 0.0015681827171682983]","[-0.00036833480909415073, -0.001200052382783423]"
B0/seed1/stage1/RIM_ONE_r3/pair00,1,1,RIM_ONE_r3,0,P3,False,0.298316895005374,0.2990429351485089,0.0007260401431348762,-0.0005679870994743652,"[0.0179254369765407, 0.01343867531341214]","[-0.00027602314741548284, -0.0008599510515333586]"
B0/seed1/stage1/RIM_ONE_r3/pair00,1,1,RIM_ONE_r3,0,P4,True,0.298316895005374,0.2990429351485089,0.0007260401431348762,-0.0005679870994743652,"[0.017925436976540476, 0.01343867531341214]","[-0.00027602314741548284, -0.0008599510515333586]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P0,False,0.298316895005374,0.29860100023252695,0.00028410522715294206,-0.0005391903547316002,"[0.021473450383454606, 0.01665983830312001]","[-0.0004515913610920741, -0.0006267893483711262]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P1,False,0.298316895005374,0.29860100023252695,0.00028410522715294206,-0.0005391903547316002,"[0.021473450383454606, 0.01665983830312001]","[-0.0004515913610920741, -0.0006267893483711262]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P2,False,0.298316895005374,0.2984951012007104,0.00017820619533637228,-0.00043675748871607745,"[0.018866083950242363, 0.00423342419131334]","[-0.00011481743513719334, -0.0007586975422951836]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P3,False,0.298316895005374,0.29889998075608326,0.0005830857507092557,-0.00035823946676238894,"[0.0197432554702075, 0.011379797015787396]","[2.358838507998673e-05, -0.0007400673186048756]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P4,True,0.298316895005374,0.29889998075608326,0.0005830857507092557,-0.00035823946676238894,"[0.01974325547020772, 0.011379797015787396]","[2.358838507998673e-05, -0.0007400673186048756]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P0,False,0.298316895005374,0.2990757497403908,0.0007588547350168007,-0.0005466718357782785,"[0.015151824891475929, 0.031028368888109448]","[0.0005409450847559949, -0.0016342887563125519]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P1,False,0.298316895005374,0.2990757497403908,0.0007588547350168007,-0.0005466718357782785,"[0.015151824891475929, 0.031028368888109448]","[0.0005409450847559949, -0.0016342887563125519]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P2,False,0.298316895005374,0.29890459461664887,0.0005876996112748611,-0.00012995326340770053,"[0.018649323032160936, 0.010949566373178676]","[-4.8717570789058584e-05, -0.0002111889560264535]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P3,False,0.298316895005374,0.29895000571115204,0.0006331107057780394,-0.00025090201275790314,"[0.018716983480151272, 0.011831122198910471]","[4.360299411154678e-05, -0.000545407019627353]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P4,True,0.298316895005374,0.29895000571115204,0.0006331107057780394,-0.00025090201275790314,"[0.018716983480151272, 0.011831122198910471]","[4.360299411154678e-05, -0.000545407019627353]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P0,False,0.298316895005374,0.2976773114892615,-0.0006395835161124852,-1.594470047905361e-05,"[0.020762386467942484, -0.03675159862758903]","[-0.0022559688655898746, 0.0022240794646317674]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P1,False,0.298316895005374,0.2976773114892615,-0.0006395835161124852,-1.594470047905361e-05,"[0.020762386467942484, -0.03675159862758903]","[-0.0022559688655898746, 0.0022240794646317674]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P2,False,0.298316895005374,0.29794350735357744,-0.00037338765179656397,-0.0005508705146051174,"[0.008984354265421768, -0.011849571060206898]","[0.00010864734303395185, -0.0012103883722442976]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P3,False,0.298316895005374,0.29814227258133513,-0.00017462242403887274,-0.00031494668597642494,"[0.009232755323083541, -0.010814216581569447]","[0.00017795930884001443, -0.0008078526807928643]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P4,True,0.298316895005374,0.29814227258133513,-0.00017462242403887274,-0.00031494668597642494,"[0.009232755323083541, -0.010814216581569447]","[0.00017795930884001443, -0.0008078526807928643]"
