batch_id,seed,stage_index,domain,pair_index,candidate,primary,panel,class_id,mode,pixels,old_correct_pixels,CE_delta,Dice_delta,old_KL_delta
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,1,1,119769,44140,-0.028467205509560944,0.002466958730881541,-0.001487729341723032
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,2,0,26125,10279,0.021693666372351483,-0.005637455252698875,0.0076567058409191535
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,2,1,36092,10008,-0.02609615184902836,-0.0036252687471642897,0.0006210493577774034
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,0,0,1160289,1111266,0.00010388298437227078,-8.660072925437134e-07,0.0002944378931497571
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,0,1,952668,848242,0.0008107945909937853,-5.438395608947655e-05,-0.0008500539981248778
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,1,0,41082,8363,-0.10261886672364007,0.0049999489021769206,-0.03672089049482308
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,1,1,115679,55701,-0.023101245051452945,0.0029612908322963483,-0.00566598563392251
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,2,0,33508,16135,0.022443372368063486,-0.004515066449155225,0.0234600046895852
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,current,2,1,56070,16507,0.025246263543556857,-0.005320191638047644,0.010493773253924754
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,train_labeled,0,0,1088216,1053535,7.339464664002284e-05,-1.4749769099764443e-05,0.00014358550822846095
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,train_labeled,0,1,1047141,990719,0.0002928900673409285,-7.293986065803892e-05,-0.0004046702481966813
