seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,region,state,count,correct_count,pseudo_label_accuracy,precision,correct_candidate_recall,coverage_within_candidate,patient_coverage,image_coverage,boundary_distance_mean,boundary_distance_q25,boundary_distance_q50,boundary_distance_q75,component_size_mean,component_size_q50,learnability_mean,logit_margin_mean,anchor_margin_mean,spatial_consistency_mean
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_near_boundary,candidate,4478,1415,0.31598928092898615,0.31598928092898615,1.0,1.0,1.0,1.0,-1.8872094519599414,-2.5,-2.1196770668029785,-1.5,3892.2181777579276,0.0,0.5601825612381287,9.000910910446231,0.8585501207124446,0.9709652606106699
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_near_boundary,admitted,3646,1107,0.3036204059243006,0.3036204059243006,0.7823321554770318,0.8142027690933452,0.9808917197452229,0.9808917197452229,-1.8928983491394327,-2.5,-2.1196770668029785,-1.5,3788.4226549643445,0.0,0.6520433963751048,10.113552190056883,0.8902275461664713,0.9867864812689042
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_near_boundary,deferred,832,308,0.3701923076923077,0.3701923076923077,0.2176678445229682,0.18579723090665476,0.89171974522293,0.89171974522293,-1.8622795010988529,-2.5,-1.6625703573226929,-1.5,4347.072115384615,0.0,0.15762894956815915,4.125081456767825,0.7197329413790542,0.9016333248896095
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_far,candidate,16487,0,0.0,0.0,nan,1.0,1.0,1.0,-18.73069271340251,-18.12466049194336,-10.5,-6.363900184631348,0.0,0.0,0.5779889838164138,9.27949931199001,0.8266367699643411,0.9727084391104226
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_far,admitted,13951,0,0.0,0.0,nan,0.8461818402377631,0.9743589743589743,0.9743589743589743,-18.57173858730693,-18.062652587890625,-10.5,-6.383542537689209,0.0,0.0,0.6504595564034377,10.197262442699001,0.8632838205256075,0.9885745301322522
1,R1,RIM_ONE_r3,1,REFUGE,1,exterior_far,deferred,2536,0,0.0,0.0,nan,0.15381815976223692,1.0,1.0,-19.60512844414365,-18.513509273529053,-10.136581420898438,-6.06221866607666,0.0,0.0,0.1793151044151643,4.230716411153601,0.6250346396882264,0.8854261694552394
1,R1,RIM_ONE_r3,1,REFUGE,2,all,candidate,24349,22993,0.9443098279190111,0.9443098279190111,1.0,1.0,1.0,1.0,15.896762377667747,7.7942118644714355,15.443543434143066,23.393308639526367,4500.60499404493,4081.0,0.6006513977837699,11.197733737736092,0.891119613978519,0.9708333938164585
1,R1,RIM_ONE_r3,1,REFUGE,2,all,admitted,19543,18999,0.9721639461699841,0.9721639461699841,0.8262949593354499,0.8026202308103002,1.0,1.0,17.73298798564854,10.136581420898438,17.2264347076416,24.63229751586914,4598.224428184005,4193.0,0.6858169662435004,12.484826170000687,0.9508874361437455,0.9962399000857519
1,R1,RIM_ONE_r3,1,REFUGE,2,all,deferred,4806,3994,0.8310445276737412,0.8310445276737412,0.1737050406645501,0.1973797691896998,1.0,1.0,8.429979802393387,1.275888353586197,6.982160568237305,14.517333984375,4103.647732001665,3968.0,0.2543362283271505,5.96393277981953,0.6480812143582481,0.8675210026344358
1,R1,RIM_ONE_r3,1,REFUGE,2,boundary,candidate,2220,1753,0.7896396396396397,0.7896396396396397,1.0,1.0,1.0,1.0,0.44520134115004323,-1.5,0.6035534143447876,2.178694248199463,2919.5923423423424,3266.5,0.4443960907638308,8.153183789564682,0.8177183025592082,0.9280272668277895
1,R1,RIM_ONE_r3,1,REFUGE,2,boundary,admitted,1151,921,0.8001737619461338,0.8001737619461338,0.5253850541928123,0.5184684684684685,0.7804878048780488,0.7804878048780488,0.6881119378435415,-0.6035534143447876,1.5,2.457106828689575,2726.5516941789747,2995.0,0.626303676888023,10.39936236616428,0.9240354097583416,0.9875612818190163
1,R1,RIM_ONE_r3,1,REFUGE,2,boundary,deferred,1069,832,0.7782974742750234,0.7782974742750234,0.47461494580718766,0.48153153153153155,0.991869918699187,0.991869918699187,0.18365775200671633,-1.5161237716674805,0.0,2.1196770668029785,3127.440598690365,3418.0,0.24853488250476133,5.734707136930318,0.7032459074364743,0.8639265640636155
