arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_U,DPR_L,O1,62,RIM_ONE_r3,40,-0.010536783287442694,-0.1701399963386201,-0.07335922462785928,-0.02939672201497942,-0.006052547907455852,0.016016387136081806,0.045031412961720016,0.08998841178867989,7,17
DPR_FINITE_U,DPR_L,O1,62,Drishti_GS,25,-0.010811366004339146,-0.07257980220332272,-0.06266842213023752,-0.03425540910732755,-0.007258761957902982,0.009229166594202143,0.03738458529726622,0.05169471319698249,3,12
DPR_FINITE_U,DPR_L,O1,63,RIM_ONE_r3,40,-0.021237687531412888,-0.2622212279358591,-0.12287393061148258,-0.04985016895625455,-0.01898712033754088,0.015356443836935865,0.0634610718240153,0.12250561497535661,10,23
DPR_FINITE_U,DPR_L,O1,63,Drishti_GS,25,-0.008952674856867102,-0.09153279621906407,-0.052825530812837605,-0.02681333562041399,-0.012140135127478136,0.012577076395590803,0.038422934821616433,0.08651119561124498,2,14
DPR_FINITE_U,DPR_L,O2,61,RIM_ONE_r3,40,0.0030243987499635762,-0.08143945434535199,-0.06549074984423142,-0.023408362034706587,0.0009348176020825272,0.02402776236409343,0.09857232001940355,0.13107179192790952,6,14
DPR_FINITE_U,DPR_L,O2,61,Drishti_GS,25,0.027650224352789014,-0.28193395231939655,-0.06860507895178344,-0.025988123925198447,0.03328213202679464,0.06946640703489149,0.20529312214949166,0.25648551452183815,3,8
DPR_FINITE_U,DPR_L,O2,62,RIM_ONE_r3,40,-0.001998921315340789,-0.13019166897013768,-0.0841023619619599,-0.021739843884129584,-0.002747453401593991,0.0250522356815025,0.07601825661531773,0.10968869616530386,5,14
DPR_FINITE_U,DPR_L,O2,62,Drishti_GS,25,-0.027833906104303318,-0.2820615247233126,-0.13716190634475484,-0.07808389726407311,-0.009255830262498765,0.02910103902702932,0.06653645142019968,0.10995189025700097,9,11
DPR_FINITE_U,DPR_L,O2,63,RIM_ONE_r3,40,-0.00677408291814449,-0.12431444241316271,-0.08800518820686484,-0.0215034256112384,0.0014991349569291046,0.012973771714248059,0.04967036515909979,0.10448027244614227,6,15
DPR_FINITE_U,DPR_L,O2,63,Drishti_GS,25,-0.03094653790841736,-0.19720748684944014,-0.13908558158924814,-0.046008198031732506,-0.03201917520640807,0.004875969319235174,0.04905915911148879,0.10848811947467607,6,16
