arm,stage,epoch,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,conflict_rate,predicted_pixels,pas_accepted_pixels,prototype_valid_steps,log_eta_max,log_eta_logsumexp,finite_positive_eta_count,boundary_infinite_eta_count,analytical_brackets,iterations,compensated_v_difference_max
U0,1,85,labeled,2,174632,174632,42878,0,76367.0900768837,25379.4693565666,0.0,25379.4693565666,0,0.0,0.0,0.0,0.002281005725351029,0.24553346465710751,,,,,,,,,,
U0,1,85,unlabeled,0,8293550,7833244,4935190,0,27792.022493689186,7159.274208737478,0.0,7159.274208737478,0,0.0,0.0,0.0,0.11035926486262383,0.6300314403585539,8293550,7833244,32,,,,,,,
U0,1,85,unlabeled,1,786320,763651,212355,0,458157.73610658804,176690.274509627,0.0,176690.274509627,0,0.0,0.0,0.0,0.010106182586119814,0.27807859873161955,786320,763651,32,,,,,,,
U0,1,85,unlabeled,2,209858,205289,36127,0,43958.33076201458,17335.649687890604,0.0,17335.649687890604,0,0.0,0.0,0.0,0.002734793559532117,0.17598117775428787,209858,205289,32,,,,,,,
U0,1,90,labeled,0,8541428,8541428,6647942,0,702762.658023581,231443.4541279834,0.0,231443.4541279834,0,0.0,0.0,0.0,0.11360662744760733,0.7783173961075361,,,,,,,,,,
U0,1,90,labeled,1,721124,721124,262819,0,843045.3874353362,239893.8876965518,0.0,239893.8876965518,0,0.0,0.0,0.0,0.009309863283339914,0.36445743034485056,,,,,,,,,,
U0,1,90,labeled,2,174632,174632,46723,0,101179.32750426242,23639.64037484512,0.0,23639.64037484512,0,0.0,0.0,0.0,0.0022809225090612735,0.26755119336662236,,,,,,,,,,
U0,1,90,unlabeled,0,8312930,7851900,6582419,0,13776.990423818346,2772.3219384791782,0.0,2772.3219384791782,0,0.0,0.0,0.0,0.11059722746009985,0.8383218074606146,8312930,7851900,32,,,,,,,
U0,1,90,unlabeled,1,757057,736516,239027,0,653019.9462131651,180812.7467332126,0.0,180812.7467332126,0,0.0,0.0,0.0,0.009743578107317005,0.3245374167024206,757057,736516,32,,,,,,,
U0,1,90,unlabeled,2,219741,214980,47717,0,54058.90891877319,20053.196862766952,0.0,20053.196862766952,0,0.0,0.0,0.0,0.002856142188737799,0.2219601823425435,219741,214980,32,,,,,,,
U0,1,95,labeled,0,8541428,8541428,6404342,0,813764.615341865,235230.36920972963,0.0,235230.36920972963,0,0.0,0.0,0.0,0.11360844597724931,0.7497975748317495,,,,,,,,,,
U0,1,95,labeled,1,721124,721124,271976,0,916702.7434621443,245934.2461738839,0.0,245934.2461738839,0,0.0,0.0,0.0,0.009311856358150544,0.3771556625490207,,,,,,,,,,
U0,1,95,labeled,2,174632,174632,49129,0,98220.99915669937,26915.790817120447,0.0,26915.790817120447,0,0.0,0.0,0.0,0.002280246133978288,0.2813287370012369,,,,,,,,,,
U0,1,95,unlabeled,0,8306844,7897136,6082580,0,20150.639237529354,4761.286454237081,0.0,4761.286454237081,0,0.0,0.0,0.0,0.11052224010648534,0.7702260667664834,8306844,7897136,32,,,,,,,
U0,1,95,unlabeled,1,773055,752084,227131,0,574142.5605452252,176407.36055393875,0.0,176407.36055393875,0,0.0,0.0,0.0,0.009943605192933436,0.30200216997037566,773055,752084,32,,,,,,,
U0,1,95,unlabeled,2,209829,205731,51683,0,60909.60351423883,19071.99372483916,0.0,19071.99372483916,0,0.0,0.0,0.0,0.002733744934489458,0.2512163942235249,209829,205731,32,,,,,,,
U0,1,100,labeled,0,8541428,8541428,6660786,0,770930.8254615087,234542.65665452732,0.0,234542.65665452732,0,0.0,0.0,0.0,0.11360387663841555,0.7798211259288259,,,,,,,,,,
U0,1,100,labeled,1,721124,721124,271875,0,903263.1134843929,241830.51264870388,0.0,241830.51264870388,0,0.0,0.0,0.0,0.00930338972466286,0.37701560341910684,,,,,,,,,,
U0,1,100,labeled,2,174632,174632,55931,0,95765.09011769056,26735.510736829336,0.0,26735.510736829336,0,0.0,0.0,0.0,0.0022800102526964764,0.3202792157222044,,,,,,,,,,
U0,1,100,unlabeled,0,8304891,7901887,6768020,0,26920.09853735323,4900.955014881964,0.0,4900.955014881964,0,0.0,0.0,0.0,0.11050391725097614,0.8565068065387419,8304891,7901887,32,,,,,,,
U0,1,100,unlabeled,1,773065,752992,230669,0,687513.60739762,182682.4202971188,0.0,182682.4202971188,0,0.0,0.0,0.0,0.009939933482846457,0.30633658790531637,773065,752992,32,,,,,,,
U0,1,100,unlabeled,2,211772,207575,48936,0,59840.615397811474,18751.06734811837,0.0,18751.06734811837,0,0.0,0.0,0.0,0.002758725894546603,0.23575093339756714,211772,207575,32,,,,,,,
U0,2,5,labeled,0,5203330,5203330,2687541,0,171697.19949809104,10218.278539664077,0.0,10218.278539664077,0,0.0,0.0,0.0,0.06932663304669208,0.5165040464471791,,,,,,,,,,
