panel_id,seed,stage_index,domain,class_id,K,role,stratum,null_mass,registered_count,null_count,Q_null_worst_case,R95_null_worst_case,Q_directional_conditional,R95_directional
C0-student,1,0,REFUGE,0,3,val,boundary,0.0,6973,0,0.08249036849935283,0.6425843983027887,0.08249036849935283,0.6425843983027887
C0-student,1,0,REFUGE,0,3,val,interior,0.0,135527,0,0.042715066129885716,0.4738831895378753,0.042715066129885716,0.4738831895378753
C0-student,1,0,REFUGE,0,5,train_labeled,boundary,0.0,2785,0,0.0536236405359377,0.5171716564842853,0.0536236405359377,0.5171716564842853
C0-student,1,0,REFUGE,0,5,train_labeled,interior,0.0,53215,0,0.025320394139485267,0.3442811022764068,0.025320394139485267,0.3442811022764068
C0-student,1,0,REFUGE,0,5,val,boundary,0.0,6973,0,0.06139546559535088,0.575801375937776,0.06139546559535088,0.575801375937776
C0-student,1,0,REFUGE,0,5,val,interior,0.0,135527,0,0.02517033566984305,0.3405850358939693,0.02517033566984305,0.3405850358939693
C0-student,1,0,REFUGE,1,1,train_labeled,boundary,0.0,11034,0,0.12728833798649672,0.7492682757758591,0.12728833798649672,0.7492682757758591
C0-student,1,0,REFUGE,1,1,train_labeled,interior,0.0,44966,0,0.0377750419524367,0.5078050706391104,0.0377750419524367,0.5078050706391104
C0-student,1,0,REFUGE,1,1,val,boundary,0.0,30639,0,0.12087434598958581,0.7813962618567541,0.12087434598958581,0.7813962618567541
C0-student,1,0,REFUGE,1,1,val,interior,0.0,111861,0,0.04402285411514212,0.5520617902609233,0.04402285411514212,0.5520617902609233
C0-student,1,0,REFUGE,1,2,train_labeled,boundary,0.0,11034,0,0.03988023831176374,0.47046339626404293,0.03988023831176374,0.47046339626404293
C0-student,1,0,REFUGE,1,2,train_labeled,interior,0.0,44966,0,0.016333793397195852,0.28442360168983216,0.016333793397195852,0.28442360168983216
C0-student,1,0,REFUGE,1,2,val,boundary,0.0,30639,0,0.04355997619677135,0.5117610300864531,0.04355997619677135,0.5117610300864531
C0-student,1,0,REFUGE,1,2,val,interior,0.0,111861,0,0.018264039686607104,0.32805683706549316,0.018264039686607104,0.32805683706549316
