panel_id,seed,stage_index,domain,class_id,K,role,slot,occupancy_active_conditional,null_mass
B0-EMA,1,0,REFUGE,2,3,train_labeled,2,0.3068928571428606,0.0
B0-EMA,1,0,REFUGE,2,3,val,0,0.3620561403504687,0.0
B0-EMA,1,0,REFUGE,2,3,val,1,0.32850526315761563,0.0
B0-EMA,1,0,REFUGE,2,3,val,2,0.3094385964910225,0.0
B0-EMA,1,0,REFUGE,2,5,train_labeled,0,0.14430357142857295,0.0
B0-EMA,1,0,REFUGE,2,5,train_labeled,1,0.05910714285714694,0.0
B0-EMA,1,0,REFUGE,2,5,train_labeled,2,0.29903571428572556,0.0
B0-EMA,1,0,REFUGE,2,5,train_labeled,3,0.30957142857142933,0.0
B0-EMA,1,0,REFUGE,2,5,train_labeled,4,0.18798214285716863,0.0
B0-EMA,1,0,REFUGE,2,5,val,0,0.14310877192983773,0.0
B0-EMA,1,0,REFUGE,2,5,val,1,0.04320000000000334,0.0
B0-EMA,1,0,REFUGE,2,5,val,2,0.30194385964894616,0.0
B0-EMA,1,0,REFUGE,2,5,val,3,0.3110596491225952,0.0
B0-EMA,1,0,REFUGE,2,5,val,4,0.20068771929826443,0.0
B0-EMA,1,1,RIM_ONE_r3,0,1,train_labeled,0,0.9999999999997989,0.0
B0-EMA,1,1,RIM_ONE_r3,0,1,val,0,1.0000000000004152,0.0
B0-EMA,1,1,RIM_ONE_r3,0,2,train_labeled,0,0.43526595744687796,0.0
B0-EMA,1,1,RIM_ONE_r3,0,2,train_labeled,1,0.564734042553251,0.0
B0-EMA,1,1,RIM_ONE_r3,0,2,val,0,0.444991721854214,0.0
B0-EMA,1,1,RIM_ONE_r3,0,2,val,1,0.5550082781456458,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,train_labeled,0,0.26345744680850364,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,train_labeled,1,0.5192021276596612,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,train_labeled,2,0.2173404255319044,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,val,0,0.2554221854304291,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,val,1,0.5069122516555293,0.0
B0-EMA,1,1,RIM_ONE_r3,0,3,val,2,0.23766556291387808,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,train_labeled,0,0.1990425531914803,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,train_labeled,1,0.2693617021276552,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,train_labeled,2,0.2508510638297746,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,train_labeled,3,0.11420212765957191,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,train_labeled,4,0.16654255319148278,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,val,0,0.19896523178806175,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,val,1,0.26399006622512855,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,val,2,0.23990066225162576,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,val,3,0.130670529801327,0.0
B0-EMA,1,1,RIM_ONE_r3,0,5,val,4,0.16647350993376672,0.0
B0-EMA,1,1,RIM_ONE_r3,1,1,train_labeled,0,0.9999999999997989,0.0
B0-EMA,1,1,RIM_ONE_r3,1,1,val,0,1.0000000000004152,0.0
B0-EMA,1,1,RIM_ONE_r3,1,2,train_labeled,0,0.6373404255319309,0.0
B0-EMA,1,1,RIM_ONE_r3,1,2,train_labeled,1,0.36265957446812225,0.0
B0-EMA,1,1,RIM_ONE_r3,1,2,val,0,0.6709023178808662,0.0
B0-EMA,1,1,RIM_ONE_r3,1,2,val,1,0.32909768211914897,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,train_labeled,0,0.3329255319149175,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,train_labeled,1,0.4188829787234664,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,train_labeled,2,0.24819148936168928,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,val,0,0.2873758278145256,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,val,1,0.3939155629138318,0.0
B0-EMA,1,1,RIM_ONE_r3,1,3,val,2,0.31870860927146993,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,train_labeled,0,0.2644148936170147,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,train_labeled,1,0.3480851063830094,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,train_labeled,2,0.14930851063829262,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,train_labeled,3,0.06159574468085243,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,train_labeled,4,0.1765957446808437,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,val,0,0.22222682119202836,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,val,1,0.32334437086087253,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,val,2,0.11879139072848079,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,val,3,0.13071192052980382,0.0
B0-EMA,1,1,RIM_ONE_r3,1,5,val,4,0.20492549668872223,0.0
B0-EMA,1,1,RIM_ONE_r3,2,1,train_labeled,0,0.9999999999997989,0.0
B0-EMA,1,1,RIM_ONE_r3,2,1,val,0,1.0000000000004152,0.0
B0-EMA,1,1,RIM_ONE_r3,2,2,train_labeled,0,0.7116489361701843,0.0
B0-EMA,1,1,RIM_ONE_r3,2,2,train_labeled,1,0.2883510638297913,0.0
B0-EMA,1,1,RIM_ONE_r3,2,2,val,0,0.7050082781458025,0.0
B0-EMA,1,1,RIM_ONE_r3,2,2,val,1,0.2949917218542584,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,train_labeled,0,0.2539361702127547,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,train_labeled,1,0.42739361702134254,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,train_labeled,2,0.318670212765975,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,val,0,0.26080298013241426,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,val,1,0.38530629139065553,0.0
B0-EMA,1,1,RIM_ONE_r3,2,3,val,2,0.3538907284767575,0.0
B0-EMA,1,1,RIM_ONE_r3,2,5,train_labeled,0,0.35670212765960896,0.0
B0-EMA,1,1,RIM_ONE_r3,2,5,train_labeled,1,0.11952127659574172,0.0
B0-EMA,1,1,RIM_ONE_r3,2,5,train_labeled,2,0.17010638297871655,0.0
B0-EMA,1,1,RIM_ONE_r3,2,5,train_labeled,3,0.1903723404255235,0.0
B0-EMA,1,1,RIM_ONE_r3,2,5,train_labeled,4,0.1632978723404192,0.0
