arm,baseline,metric,scope,order,seed,delta,sample_SD
ISO_COND_LU,F_CONV,Final,seed_order,O1,63,-0.03154227075857674,
ISO_COND_LU,F_CONV,Final,seed_order,O2,61,-0.02167363733264349,
ISO_COND_LU,F_CONV,Final,seed_order,O2,62,-0.08180537258578591,
ISO_COND_LU,F_CONV,Final,seed_order,O2,63,-0.09535534013035496,
ISO_COND_LU,F_CONV,Final,seed_order_average,both,61,-0.032478711341214606,
ISO_COND_LU,F_CONV,Final,seed_order_average,both,62,-0.03389668764323539,
ISO_COND_LU,F_CONV,Final,seed_order_average,both,63,-0.06344880544446585,
ISO_COND_LU,F_CONV,Final,overall,both,,-0.043274734809638615,0.017485637211223447
ISO_COND_LU,F_CONV,Incoming,seed_order,O1,61,-0.09761722583819132,
ISO_COND_LU,F_CONV,Incoming,seed_order,O1,62,-0.08682091933027047,
ISO_COND_LU,F_CONV,Incoming,seed_order,O1,63,-0.14385116999944036,
ISO_COND_LU,F_CONV,Incoming,seed_order,O2,61,-0.07599778893678566,
ISO_COND_LU,F_CONV,Incoming,seed_order,O2,62,-0.09682045215174906,
ISO_COND_LU,F_CONV,Incoming,seed_order,O2,63,-0.15682492598563513,
ISO_COND_LU,F_CONV,Incoming,seed_order_average,both,61,-0.08680750738748849,
ISO_COND_LU,F_CONV,Incoming,seed_order_average,both,62,-0.09182068574100977,
ISO_COND_LU,F_CONV,Incoming,seed_order_average,both,63,-0.15033804799253775,
ISO_COND_LU,F_CONV,Incoming,overall,both,,-0.109655413707012,0.035321247693257236
ISO_COND_LU,F_CONV,Old,seed_order,O1,61,0.011049655138619774,
ISO_COND_LU,F_CONV,Old,seed_order,O1,62,0.11484491392890062,
ISO_COND_LU,F_CONV,Old,seed_order,O1,63,0.08076662848228677,
ISO_COND_LU,F_CONV,Old,seed_order,O2,61,0.032650514271498676,
ISO_COND_LU,F_CONV,Old,seed_order,O2,62,-0.0667902930198227,
ISO_COND_LU,F_CONV,Old,seed_order,O2,63,-0.033885754275074675,
ISO_COND_LU,F_CONV,Old,seed_order_average,both,61,0.021850084705059225,
ISO_COND_LU,F_CONV,Old,seed_order_average,both,62,0.024027310454538958,
ISO_COND_LU,F_CONV,Old,seed_order_average,both,63,0.02344043710360605,
ISO_COND_LU,F_CONV,Old,overall,both,,0.023105944087734743,0.0011264955278648056
