task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O2_s62_ISO_RANDOM_LU,62,O2,ISO_RANDOM_LU,Drishti_GS,old,25,25,0.9665655556566195,0.47181743949956145,0.21742302384158,0.3446202316705707
O2_s62_ISO_RANDOM_LU,62,O2,ISO_RANDOM_LU,RIM_ONE_r3,current,40,40,0.9832068443695465,0.6361014396909602,0.5812747127143675,0.6086880762026639
O1_s63_SCALE_LU,63,O1,SCALE_LU,RIM_ONE_r3,old,40,40,0.9879350059984588,0.7109577094870921,0.6731738401404266,0.6920657748137595
O1_s63_SCALE_LU,63,O1,SCALE_LU,Drishti_GS,current,25,25,0.9645629181790233,0.39178870170645685,0.5998356111810655,0.4958121564437612
O1_s63_AFFINE_LU,63,O1,AFFINE_LU,RIM_ONE_r3,old,40,40,0.9788125207077053,0.4818771340759156,0.5581652360825256,0.5200211850792206
O1_s63_AFFINE_LU,63,O1,AFFINE_LU,Drishti_GS,current,25,25,0.9756959401723283,0.5676208678573883,0.6874520708174157,0.627536469337402
O1_s63_ISO_GLOBAL_LU,63,O1,ISO_GLOBAL_LU,RIM_ONE_r3,old,40,40,0.9828544247051381,0.6578811580304688,0.653306136928195,0.6555936474793318
O1_s63_ISO_GLOBAL_LU,63,O1,ISO_GLOBAL_LU,Drishti_GS,current,25,25,0.9735939530633873,0.522381619325403,0.6424175656159289,0.582399592470666
O1_s63_ISO_COND_L,63,O1,ISO_COND_L,RIM_ONE_r3,old,40,40,0.984042514583345,0.5955675242244329,0.6009843218420199,0.5982759230332265
O1_s63_ISO_COND_L,63,O1,ISO_COND_L,Drishti_GS,current,25,25,0.9730863902205887,0.5196391270224757,0.658589182564505,0.5891141547934903
O1_s63_ISO_COND_LU,63,O1,ISO_COND_LU,RIM_ONE_r3,old,40,40,0.9840322597195043,0.5894763198093542,0.5977733163593747,0.5936248180843646
O1_s63_ISO_COND_LU,63,O1,ISO_COND_LU,Drishti_GS,current,25,25,0.9730967276684571,0.5199236656336008,0.6594807065412475,0.5897021860874242
O1_s63_ISO_RANDOM_LU,63,O1,ISO_RANDOM_LU,RIM_ONE_r3,old,40,40,0.9863394495113958,0.5636579260601158,0.5827366959130706,0.5731973109865933
O1_s63_ISO_RANDOM_LU,63,O1,ISO_RANDOM_LU,Drishti_GS,current,25,25,0.9721840079747673,0.4999838972643367,0.6803283983521671,0.5901561478082519
O2_s63_SCALE_LU,63,O2,SCALE_LU,Drishti_GS,old,25,25,0.9622235751256499,0.40728754739819395,0.2704336227813488,0.3388605850897713
O2_s63_SCALE_LU,63,O2,SCALE_LU,RIM_ONE_r3,current,40,40,0.9779197075775556,0.6069372039303131,0.486462864758291,0.546700034344302
O2_s63_AFFINE_LU,63,O2,AFFINE_LU,Drishti_GS,old,25,25,0.960321317573822,0.33889922126442235,0.4684952614215316,0.4036972413429771
O2_s63_AFFINE_LU,63,O2,AFFINE_LU,RIM_ONE_r3,current,40,40,0.9772176060005677,0.5935195430597112,0.49569468237804504,0.5446071127188781
O2_s63_ISO_GLOBAL_LU,63,O2,ISO_GLOBAL_LU,Drishti_GS,old,25,25,0.9597486935819585,0.3095225670192941,0.4290990072223451,0.36931078712081955
O2_s63_ISO_GLOBAL_LU,63,O2,ISO_GLOBAL_LU,RIM_ONE_r3,current,40,40,0.9758072720992867,0.5367672470905578,0.4657787834662527,0.5012730152784052
O2_s63_ISO_COND_L,63,O2,ISO_COND_L,Drishti_GS,old,25,25,0.9631070698852614,0.3647177777723843,0.4814251584344184,0.42307146810340135
O2_s63_ISO_COND_L,63,O2,ISO_COND_L,RIM_ONE_r3,current,40,40,0.9772838111917022,0.5955655246287304,0.49987606033769527,0.5477207924832129
O2_s63_ISO_COND_LU,63,O2,ISO_COND_LU,Drishti_GS,old,25,25,0.9636330187420551,0.37226986976799337,0.4818001142973341,0.42703499203266376
O2_s63_ISO_COND_LU,63,O2,ISO_COND_LU,RIM_ONE_r3,current,40,40,0.9773236442101499,0.5964075644457616,0.5013903831407761,0.5488989737932688
O2_s63_ISO_RANDOM_LU,63,O2,ISO_RANDOM_LU,Drishti_GS,old,25,25,0.9591470231607149,0.3264777093972423,0.42156224881067345,0.3740199791039579
O2_s63_ISO_RANDOM_LU,63,O2,ISO_RANDOM_LU,RIM_ONE_r3,current,40,40,0.9769130606528155,0.5817531565803684,0.49027252755964346,0.5360128420700059
