candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R1,0,0,registered,1,0.05,0.0500000678163697,,0.051859774759773235,0.05196844445403726,0.03455261364652486,0.09778903837207273,0.09144003439665495,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.05,0.0500000678163697,,0.04137790113576384,0.09915801243498738,0.06039185457502498,0.06262198537599654,0.06350902844370071,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.1,0.10000000000161557,,0.10114523930560415,0.0960360557812551,0.09427589888993254,0.8395528157552073,0.8451165093315963,0.8300467936197674,0.8799991861978903
R1,0,0,registered,1,0.1,0.10000000000161557,,0.10356993603304154,0.10423135389140874,0.06918231236722097,0.09764811197916662,0.09169921874999995,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.1,0.10000000000161557,,0.0829897124338936,0.19730165856303047,0.12037499788232504,0.06279907226562496,0.06318427191840274,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.2,0.20000000000834584,,0.20225902317555447,0.19203419574856467,0.18853099032099285,0.8394222683376731,0.8449496799045134,0.8300467936197674,0.8799991861978903
R1,0,0,registered,1,0.2,0.20000000000834584,,0.20753548465059132,0.20852900094660476,0.1384054798237527,0.09783460828993021,0.09172837999131912,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.2,0.20000000000834584,,0.16583155062721103,0.39546309316075695,0.24012528165077,0.06274312337239561,0.06332194010416645,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.3,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.8300467936197674,0.8799991861978903
R1,0,0,registered,1,0.3,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.3,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.8300467936197674,0.8799991861978903
R1,0,0,registered,1,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.07567091200086797,0.03202419704861111
R1,0,0,registered,0,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.8300467936197674,0.8799991861978903
R1,0,0,registered,1,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.0942822943793403,0.08797661675347221
R1,0,0,registered,2,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.07567091200086797,0.03202419704861111
R2,0,0,matched_global,0,0.21221327040847338,0.21221327040847338,,0.2554412593024428,0.23939412995384016,0.23933425071108366,0.9991278954573867,0.9927119031884065,0.8300467936197674,0.8799991861978903
R2,0,0,matched_global,1,0.21221327040847338,0.21221327040847338,,0.0007797164392853365,0.01610153029289245,0.00021121310322924793,0.0003464130905799914,0.006675162948371642,0.0942822943793403,0.08797661675347221
