candidate,seed,stage_index,class_id,requested_coverage,precision,achieved_coverage,reason,point_kind
R2,0,2,1,0.4,0.4796811826202132,0.40005214882565937,,registered
R2,0,2,1,0.5,0.4584905637680764,0.500002224483959,,registered
R2,0,2,1,1.0,0.3576146557101433,1.0000000000010163,,maximum_support
R2,0,2,2,0.05,0.9886758390397178,0.05000951575521805,,registered
R2,0,2,2,0.1,0.9850684909011934,0.1000038109506364,,registered
R2,0,2,2,0.2,0.9787361557323427,0.2000069649156231,,registered
R2,0,2,2,0.3,0.9737016415748833,0.30006421488534607,,registered
R2,0,2,2,0.4,0.9638587932925542,0.40001082587194464,,registered
R2,0,2,2,0.5,0.9580545758131428,0.5000206848179959,,registered
R2,0,2,2,1.0,0.6746803516665685,1.000000000001697,,maximum_support
R2,0,2,foreground_macro,0.05,0.8225075167210245,0.050005489728239795,,registered
R2,0,2,foreground_macro,0.1,0.7951327988651358,0.10000549831344416,,registered
R2,0,2,foreground_macro,0.2,0.7609627397558854,0.20000545266549657,,registered
