seed,variant,site_step,successful_site_step_before_step,noise_warmup_multiplier,effective_sigma,noise_scale_p10,noise_scale_p50,noise_scale_p90,perturbation_weight_ratio,classifier_angular_drift,raw_noise_checksum
0,L4,50,49,0.245,0.0774758026741253,0.00011346597602823749,0.0006293661426752806,0.017258290201425552,0.026072276756167412,0.031029170379042625,15d857c78388ecc85ba36cca1f2fe7d92d16d6631c4e49e455b4121676111c16
0,L4,100,99,0.495,0.1565327441783348,0.003710780758410692,0.0071864258497953415,0.12485989183187485,0.06575168669223785,0.027456670999526978,e113d07e74325b21911656f0f7eb09178a8f423925f0cce391c18f2f638508d6
0,L4,150,149,0.745,0.23558968568254426,0.0008280544425360858,0.0019153518369421363,0.10797466337680817,0.2902440130710602,0.026990246027708054,0af84da5efb64acbd1ac5350783942eedf36b349e2e1e1095574b42c87f82dc6
0,L4,200,199,0.995,0.31464662718675374,0.0003390776109881699,0.0012689331779256463,0.02690972201526165,0.760004997253418,0.0276523195207119,fc6f2d884b61d8024e1452e31eba8cc48cbaf9f32e3ee9ee8cb2bfd7ebf0e321
0,L4,201,200,1.0,0.31622776601683794,0.00040504493517801166,0.000752414227463305,0.015683073550462723,0.3928147256374359,0.02764211595058441,a90da8dd6b684954a66b40d132e1c1fc1a9fac8d1340ed8bdac271f8627aa070
0,L4,250,249,1.0,0.31622776601683794,0.001688564196228981,0.0037631234154105186,0.10710050165653229,0.10429487377405167,0.030544467270374298,fa8636e71afbcb2ac38ac7dada75f8e4238b06d0830e2068b05c7277af8d5dd8
0,L4,300,299,1.0,0.31622776601683794,0.00023120499099604785,0.0003905736084561795,0.014788607135415077,0.43412625789642334,0.03326897323131561,96a9f6016d3413c073e5594caeaaa6a2cd4cb8f417d24a23bdf31fe43596c46d
0,L4,350,349,1.0,0.31622776601683794,0.024391625076532364,0.04002194106578827,0.5287055373191833,0.6878784894943237,0.03581511974334717,3db33f2a73b1203622beceee801edb0cc7cbce12c834a4ffc6bcaa303d43b274
0,L4,400,399,1.0,0.31622776601683794,0.000702905235812068,0.0034616708289831877,0.19147171080112457,0.13151976466178894,0.038848817348480225,850765ba251ccd18cc6ca3aeb0b4e43fce429c2dfb27b4b404dd93baef5b05fc
0,L4,450,449,1.0,0.31622776601683794,5.133827289682813e-05,0.0002691572590265423,0.002553024794906378,0.469987154006958,0.042764678597450256,5305d3d4799d908554aba06feee0693421e484001347ca308affb018f71518a6
0,L4,500,499,1.0,0.31622776601683794,0.00023142453574109823,0.000620451697614044,0.03559117019176483,0.3400082290172577,0.044489406049251556,17871e93ecdc1d2d0bdb05d2fe8796d7890abba10785c999e97512ba49b904aa
0,L4,550,549,1.0,0.31622776601683794,0.005015313159674406,0.00940238032490015,0.1642412543296814,0.20832528173923492,0.04609614610671997,ff35c3fe6002d7ae559f6c2cd6869d8d01787983d8e109f6412dc9c7549d6ef1
0,L4,600,599,1.0,0.31622776601683794,1.9642831830424257e-05,5.166300979908556e-05,0.0012335715582594275,0.3827137053012848,0.04741809517145157,fda6e35ca7f53fa6c653761928086d758dedd8a39c2d9509e71aaa3913a9f94d
0,L4,650,649,1.0,0.31622776601683794,0.00015783225535415113,0.001133402343839407,0.0696064829826355,0.07611560076475143,0.048423267900943756,9c67b7c9af6a9f6b8521c9f60f58e097ed8b96aaf46d9161c385a36b12f6bea3
0,L4,700,699,1.0,0.31622776601683794,0.0017988469917327166,0.011034367606043816,0.31389909982681274,0.3633394241333008,0.04962215572595596,8ff974cad42f4209d164765a73692ff1016ce16e591e2d2f32f48ddb9141e18a
0,L4,750,749,1.0,0.31622776601683794,0.00015139648166950792,0.0005745107191614807,0.006179603282362223,0.5713009834289551,0.05007763206958771,e5163918c35b55b3e9b74e7cef4d3b4fc0a33316dbc7b78e1e7d4f36b73acd31
0,L4,800,799,1.0,0.31622776601683794,0.004062722437083721,0.009656054899096489,0.16308321058750153,0.322053998708725,0.05033436417579651,c7963dd3c0eea46c37225c5598f1e4740556680b403c3a6bc7f53384d60d23fd
0,L4,850,849,1.0,0.31622776601683794,0.0008240630850195885,0.002056458964943886,0.05161387845873833,0.13089142739772797,0.050622276961803436,0d953393a753f5473c72bf2339bbaaa8b51015a35b54f488b73bc13d7ac80d1d
0,L4,900,899,1.0,0.31622776601683794,0.001194050651974976,0.005036771297454834,0.09673263132572174,0.26547467708587646,0.05081973224878311,bdad134a9e6dd194bc043430d28a6d99773fffc63fc5cfc2887272b80725565d
0,L4,950,949,1.0,0.31622776601683794,0.0003960264439228922,0.0011479600798338652,0.0170414000749588,0.09820029139518738,0.05089552700519562,518c912751a00cbbebeb82bedb1a89bb73e3cff7de5e892e60f174fa9ce18ef7
0,L4,1000,999,1.0,0.31622776601683794,0.002549783792346716,0.006561935413628817,0.2025405466556549,0.6313198804855347,0.050900936126708984,1c58d86001f9dfb9a5a68333d9e571eb2925f742cdad864a7330a0ff85fb2cf1
0,D1,1,0,0.0,0.0,0.0006905221380293369,0.0027033991646021605,0.022832849994301796,0.0,0.00032552084303461015,f8185d5b6b087fcae63c6beb32ec0090726291cbfaf15a04fb61ad077fe9a478
0,D1,2,1,0.005,0.0015811388300841897,0.001987649127840996,0.004858385771512985,0.10886414349079132,0.0005344845121726394,0.0036822210531681776,760ab79ed9dc45fd21f94942b201bdc8c6960f37f79d85a5cbacf2bd546d0866
0,D1,50,49,0.245,0.0774758026741253,0.0001302734308410436,0.00043252893374301493,0.034452151507139206,0.06398675590753555,0.031006749719381332,15d857c78388ecc85ba36cca1f2fe7d92d16d6631c4e49e455b4121676111c16
0,D1,100,99,0.495,0.1565327441783348,0.0028923857025802135,0.010426098480820656,0.16714997589588165,0.27556172013282776,0.027419619262218475,e113d07e74325b21911656f0f7eb09178a8f423925f0cce391c18f2f638508d6
0,D1,150,149,0.745,0.23558968568254426,0.00316962250508368,0.011259449645876884,0.20315922796726227,0.2445569485425949,0.026811441406607628,0af84da5efb64acbd1ac5350783942eedf36b349e2e1e1095574b42c87f82dc6
0,D1,200,199,0.995,0.31464662718675374,0.0009030911605805159,0.0019281188724562526,0.03803188353776932,0.10702850669622421,0.02683420106768608,fc6f2d884b61d8024e1452e31eba8cc48cbaf9f32e3ee9ee8cb2bfd7ebf0e321
