seed,stage_index,domain,case_id,class_id,candidate,level,valid_pixels,full_pixels,full_mass,R1_full_mass,full_mass_difference,selected_nonignore_mass,error_mass,case_fraction_selected,case_fraction_error,precision,weighted_error,ignored_pixels,selected_ignore_mass,null_pixels,selected_null_mass,cases,valid_stratum_cases,weighted_selected_mass,weighted_error_mass,case_error_defined,case_error_undefined,case_error_quantiles,reference_error,relative_error_reduction,precision_drop
0,0,REFUGE,REFUGE_test_n0138,0,Q3,case,125138,125138,86254.47656716674,10593,75661.47656716674,86254.47656716674,2342.298687810613,0.6892748530995121,0.01871772513393704,0.9728443232046436,0.027155676795356295,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,1,Q1,case,14285,14285,1547.0,1547,0.0,1547.0,595.0,0.10829541477073854,0.041652082604130204,0.6153846153846154,0.38461538461538464,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,1,Q2,case,14285,14285,1547.0,1547,0.0,1547.0,595.0,0.10829541477073854,0.041652082604130204,0.6153846153846154,0.38461538461538464,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,1,Q0,case,14285,14285,1547.0,1547,0.0,1547.0,422.0,0.10829541477073854,0.029541477073853694,0.7272139625080801,0.2727860374919198,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,1,Q3,case,14285,14285,2026.565547091648,1547,479.5655470916481,2026.565547091648,803.5159466561751,0.1418666816304969,0.05624892871236787,0.6035085330403887,0.3964914669596114,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,2,Q1,case,8033,8033,1576.0,1576,0.0,1576.0,697.0,0.19619071330760612,0.08676708577119382,0.557741116751269,0.44225888324873097,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,2,Q2,case,8033,8033,1576.0,1576,0.0,1576.0,697.0,0.19619071330760612,0.08676708577119382,0.557741116751269,0.44225888324873097,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,2,Q0,case,8033,8033,1576.0,1576,0.0,1576.0,591.0,0.19619071330760612,0.0735715174903523,0.625,0.375,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,2,Q3,case,8033,8033,1979.5349219381349,1576,403.53492193813486,1979.5349219381349,1020.5060102778366,0.24642536062966947,0.1270392145248147,0.4844718327683386,0.5155281672316614,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,0,Q1,case,94266,94266,13127.0,13127,0.0,13127.0,27.0,0.13925487450406296,0.0002864235249188467,0.9979431705644854,0.0020568294355145884,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,0,Q2,case,94266,94266,13127.0,13127,0.0,13127.0,27.0,0.13925487450406296,0.0002864235249188467,0.9979431705644854,0.0020568294355145884,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,0,Q0,case,94266,94266,13127.0,13127,0.0,13127.0,106.0,0.13925487450406296,0.0011244775422739907,0.9919250399939057,0.00807496000609431,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,0,Q3,case,94266,94266,75901.7631035483,13127,62774.76310354831,75901.7631035483,873.1033814834502,0.8051870568767987,0.009262124005298307,0.9884969288487762,0.011503071151223808,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,1,Q1,case,41482,41482,3013.0,3013,0.0,3013.0,1718.0,0.07263391350465262,0.04141555373414975,0.42980418187852637,0.5701958181214736,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,1,Q2,case,41482,41482,3013.0,3013,0.0,3013.0,1718.0,0.07263391350465262,0.04141555373414975,0.42980418187852637,0.5701958181214736,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,1,Q0,case,41482,41482,3013.0,3013,0.0,3013.0,709.0,0.07263391350465262,0.0170917506388313,0.7646863591105211,0.23531364088947893,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,1,Q3,case,41482,41482,11894.906272606126,3013,8881.906272606126,11894.906272606126,8569.961816414807,0.2867486204282852,0.2065947113546793,0.2795267469949418,0.7204732530050582,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,2,Q1,case,11708,11708,2828.0,2828,0.0,2828.0,1480.0,0.24154424325247695,0.12640929279125385,0.4766619519094767,0.5233380480905233,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,2,Q2,case,11708,11708,2828.0,2828,0.0,2828.0,1480.0,0.24154424325247695,0.12640929279125385,0.4766619519094767,0.5233380480905233,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,2,Q0,case,11708,11708,2828.0,2828,0.0,2828.0,1462.0,0.24154424325247695,0.12487188247352238,0.48302687411598305,0.516973125884017,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0147,2,Q3,case,11708,11708,3048.693413417312,2828,220.69341341731206,3048.693413417312,1675.4403869816274,0.2603940394104298,0.1431021854271974,0.45043985741301257,0.5495601425869874,0,0.0,0,0.0,,,,,,,,,,
